year,month,sst_mean,sst_min,sst_max,date,clim_monthly_mean,anomaly
2005,12,28.547533,28.106783,29.030355,2005-12-15,28.478245,0.069288254
2006,1,29.005589,28.228928,29.766428,2006-01-15,28.576626,0.4289627
2006,2,29.32139,28.529646,30.28357,2006-02-15,28.754911,0.5664787
2006,3,28.88712,28.120712,29.72,2006-03-15,29.323496,-0.43637657
2006,4,28.500702,27.978928,29.082144,2006-04-15,28.854733,-0.3540306
2006,5,27.616762,26.753927,28.455715,2006-05-15,27.985186,-0.36842346
2006,6,26.828619,26.25607,27.423214,2006-06-15,26.798796,0.029823303
2006,7,25.944551,25.16,26.411787,2006-07-15,25.807795,0.1367569
2006,8,25.594019,25.113216,26.072498,2006-08-15,25.307146,0.28687286
2006,9,25.58206,25.195356,26.178572,2006-09-15,25.65103,-0.06896973
2006,10,26.385944,25.708212,27.3775,2006-10-15,26.394232,-0.00828743
2006,11,27.491617,26.339283,29.038214,2006-11-15,27.614315,-0.12269783
2006,12,28.478962,27.498928,29.384283,2006-12-15,28.478245,0.0007171631
2007,1,28.357891,27.457142,28.893927,2007-01-15,28.576626,-0.21873474
2007,2,28.997269,28.238924,29.675358,2007-02-15,28.754911,0.24235725
2007,3,29.590725,29.097502,30.085714,2007-03-15,29.323496,0.26722908
2007,4,29.425821,28.973927,29.837143,2007-04-15,28.854733,0.5710888
2007,5,28.78834,27.702143,29.430712,2007-05-15,27.985186,0.803154
2007,6,27.467903,26.386072,28.186789,2007-06-15,26.798796,0.66910744
2007,7,26.094976,25.592144,26.497854,2007-07-15,25.807795,0.28718185
2007,8,25.768938,25.328928,26.045713,2007-08-15,25.307146,0.461792
2007,9,26.248869,26.016783,26.46857,2007-09-15,25.65103,0.59783936
2007,10,26.91667,25.963573,27.717144,2007-10-15,26.394232,0.52243805
2007,11,27.861248,27.172144,28.444284,2007-11-15,27.614315,0.24693298
2007,12,28.652107,28.161428,29.014643,2007-12-15,28.478245,0.17386246
2008,1,29.047636,28.519287,29.555002,2008-01-15,28.576626,0.4710102
2008,2,28.016798,26.852499,28.833216,2008-02-15,28.754911,-0.7381134
2008,3,29.103848,28.416428,30.029638,2008-03-15,29.323496,-0.21964836
2008,4,28.092749,27.843927,28.571787,2008-04-15,28.854733,-0.7619839
2008,5,27.951153,27.387854,28.624285,2008-05-15,27.985186,-0.03403282
2008,6,26.649012,25.789282,27.416426,2008-06-15,26.798796,-0.14978409
2008,7,25.609665,25.216784,25.954641,2008-07-15,25.807795,-0.19812965
2008,8,25.241842,25.028929,25.455355,2008-08-15,25.307146,-0.0653038
2008,9,25.714153,25.10464,26.466785,2008-09-15,25.65103,0.0631237
2008,10,26.907799,26.217142,27.772501,2008-10-15,26.394232,0.513567
2008,11,28.056702,27.476427,28.575357,2008-11-15,27.614315,0.44238663
2008,12,28.74038,27.887857,29.053213,2008-12-15,28.478245,0.26213455
2009,1,28.936058,28.28857,29.479998,2009-01-15,28.576626,0.35943222
2009,2,29.25417,28.795355,29.715,2009-02-15,28.754911,0.49925804
2009,3,29.732315,29.318213,30.21143,2009-03-15,29.323496,0.4088192
2009,4,28.861107,27.268215,30.836786,2009-04-15,28.854733,0.006374359
2009,5,28.033617,27.42357,28.57214,2009-05-15,27.985186,0.048431396
2009,6,27.485119,26.964996,27.793928,2009-06-15,26.798796,0.68632317
2009,7,26.010103,25.368927,26.734999,2009-07-15,25.807795,0.20230865
2009,8,25.625772,25.237856,25.99107,2009-08-15,25.307146,0.3186264
2009,9,25.962141,25.216785,26.334286,2009-09-15,25.65103,0.31111145
2009,10,27.070772,26.265356,27.56714,2009-10-15,26.394232,0.6765404
2009,11,28.367786,27.548569,29.365713,2009-11-15,27.614315,0.7534714
2009,12,29.464205,29.070713,29.899286,2009-12-15,28.478245,0.98596
2010,1,28.735424,28.23107,29.348215,2010-01-15,28.576626,0.15879822
2010,2,29.439388,28.657145,30.036425,2010-02-15,28.754911,0.68447685
2010,3,30.062763,29.663927,30.359646,2010-03-15,29.323496,0.73926735
2010,4,29.690142,28.945356,30.01821,2010-04-15,28.854733,0.83540916
2010,5,28.793236,28.402859,29.090715,2010-05-15,27.985186,0.80805016
2010,6,27.667572,27.21857,28.286428,2010-06-15,26.798796,0.8687763
2010,7,26.437431,26.039286,27.149643,2010-07-15,25.807795,0.62963676
2010,8,25.481855,25.006428,26.247145,2010-08-15,25.307146,0.17470932
2010,9,25.761011,25.512857,26.163929,2010-09-15,25.65103,0.10998154
2010,10,26.966866,26.136427,27.621069,2010-10-15,26.394232,0.57263374
2010,11,27.896582,27.35,28.638927,2010-11-15,27.614315,0.28226662
2010,12,28.661993,27.886786,29.253572,2010-12-15,28.478245,0.18374825
2011,1,29.001993,28.246786,29.490713,2011-01-15,28.576626,0.42536736
2011,2,28.75935,28.291426,29.276785,2011-02-15,28.754911,0.0044384003
2011,3,29.577038,29.059282,30.088211,2011-03-15,29.323496,0.25354195
2011,4,29.403439,28.846785,30.447142,2011-04-15,28.854733,0.54870605
2011,5,28.3766,28.025358,29.188215,2011-05-15,27.985186,0.39141464
2011,6,27.440905,26.638214,28.414282,2011-06-15,26.798796,0.6421089
2011,7,26.16841,25.56464,27.031784,2011-07-15,25.807795,0.36061478
2011,8,25.920126,25.492496,26.199642,2011-08-15,25.307146,0.6129799
2011,9,25.910513,25.431784,26.337503,2011-09-15,25.65103,0.25948334
2011,10,26.555702,25.731787,28.22857,2011-10-15,26.394232,0.16147041
2011,11,28.307987,27.529999,29.146784,2011-11-15,27.614315,0.6936722
2011,12,28.932407,28.296785,30.244642,2011-12-15,28.478245,0.4541626
2012,1,28.177223,27.419285,28.70571,2012-01-15,28.576626,-0.39940262
2012,2,28.539728,28.009644,29.256426,2012-02-15,28.754911,-0.21518326
2012,3,29.252478,28.699999,30.151072,2012-03-15,29.323496,-0.07101822
2012,4,29.02926,27.8,30.350712,2012-04-15,28.854733,0.17452812
2012,5,27.701704,27.21036,28.199286,2012-05-15,27.985186,-0.2834816
2012,6,26.691439,26.223927,27.571783,2012-06-15,26.798796,-0.107357025
2012,7,25.887259,25.581785,26.307497,2012-07-15,25.807795,0.07946396
2012,8,25.712708,25.309645,26.057142,2012-08-15,25.307146,0.40556145
2012,9,26.272179,25.834286,26.65214,2012-09-15,25.65103,0.62114906
2012,10,26.763306,26.169998,27.536785,2012-10-15,26.394232,0.36907387
2012,11,27.998653,26.861786,28.83393,2012-11-15,27.614315,0.38433838
2012,12,29.205471,28.630716,30.139996,2012-12-15,28.478245,0.72722626
2013,1,29.028824,28.355358,30.223572,2013-01-15,28.576626,0.45219803
2013,2,28.88945,28.392498,29.659286,2013-02-15,28.754911,0.13453865
2013,3,29.215965,27.843212,29.79357,2013-03-15,29.323496,-0.107530594
2013,4,28.840975,28.312143,29.753214,2013-04-15,28.854733,-0.013757706
2013,5,27.76364,27.1425,28.204641,2013-05-15,27.985186,-0.22154617
2013,6,26.681952,25.937143,27.3375,2013-06-15,26.798796,-0.11684418
2013,7,25.48485,25.141428,25.965357,2013-07-15,25.807795,-0.32294464
2013,8,25.36076,24.85893,25.690714,2013-08-15,25.307146,0.053613663
2013,9,25.731974,25.267141,26.43857,2013-09-15,25.65103,0.08094406
2013,10,26.631462,26.090359,27.414999,2013-10-15,26.394232,0.2372303
2013,11,28.008558,27.1425,29.056429,2013-11-15,27.614315,0.39424324
2013,12,29.074411,28.707142,29.804287,2013-12-15,28.478245,0.5961666
2014,1,28.583155,28.18607,28.932858,2014-01-15,28.576626,0.0065288544
2014,2,28.584183,28.222498,28.954283,2014-02-15,28.754911,-0.17072868
2014,3,29.233213,28.65607,29.787857,2014-03-15,29.323496,-0.09028244
2014,4,28.797153,28.315357,29.250357,2014-04-15,28.854733,-0.05757904
2014,5,28.116245,27.598211,28.618214,2014-05-15,27.985186,0.13105965
2014,6,27.276546,26.399643,27.936426,2014-06-15,26.798796,0.47775078
2014,7,26.077776,25.616428,26.565714,2014-07-15,25.807795,0.26998138
2014,8,25.903906,25.578571,26.185,2014-08-15,25.307146,0.5967598
2014,9,25.85106,25.316786,26.286428,2014-09-15,25.65103,0.20003128
2014,10,26.716934,26.018215,27.280714,2014-10-15,26.394232,0.3227024
2014,11,28.294415,27.394642,29.110355,2014-11-15,27.614315,0.6800995
2014,12,29.193007,28.592138,29.713572,2014-12-15,28.478245,0.71476173
2015,1,28.146532,27.477854,28.666431,2015-01-15,28.576626,-0.43009377
2015,2,28.686083,28.028929,29.277859,2015-02-15,28.754911,-0.06882858
2015,3,28.928778,28.1425,29.656067,2015-03-15,29.323496,-0.39471817
2015,4,29.343798,28.830357,29.75607,2015-04-15,28.854733,0.48906517
2015,5,28.413513,27.978212,28.952854,2015-05-15,27.985186,0.42832756
2015,6,27.436094,26.472502,28.291782,2015-06-15,26.798796,0.6372986
2015,7,26.37394,25.898573,26.691427,2015-07-15,25.807795,0.56614494
2015,8,26.162891,25.932499,26.567854,2015-08-15,25.307146,0.8557453
2015,9,26.49707,26.082857,27.056425,2015-09-15,25.65103,0.8460407
2015,10,27.37819,26.831785,27.86321,2015-10-15,26.394232,0.9839573
2015,11,28.005297,27.335358,28.990356,2015-11-15,27.614315,0.39098167
2015,12,29.357315,29.028927,29.936428,2015-12-15,28.478245,0.8790703
2016,1,29.55553,29.051428,30.043213,2016-01-15,28.576626,0.9789047
2016,2,28.992142,28.43857,29.873213,2016-02-15,28.754911,0.2372303
2016,3,30.421162,29.805712,31.031427,2016-03-15,29.323496,1.0976658
2016,4,29.940357,29.051428,30.673925,2016-04-15,28.854733,1.0856247
2016,5,28.40061,27.476427,29.701786,2016-05-15,27.985186,0.41542435
2016,6,26.8642,26.125357,27.534641,2016-06-15,26.798796,0.06540489
2016,7,25.743813,25.394285,26.185358,2016-07-15,25.807795,-0.06398201
2016,8,25.620289,25.274282,25.8475,2016-08-15,25.307146,0.31314278
2016,9,25.84487,25.307858,26.181427,2016-09-15,25.65103,0.19384003
2016,10,26.606739,25.861786,27.628927,2016-10-15,26.394232,0.21250725
2016,11,27.830297,27.306425,28.20464,2016-11-15,27.614315,0.21598244
2016,12,29.062489,28.3275,29.656786,2016-12-15,28.478245,0.5842438
2017,1,28.978825,28.166428,29.450354,2017-01-15,28.576626,0.4021988
2017,2,29.139208,28.113571,29.954285,2017-02-15,28.754911,0.38429642
2017,3,29.725138,29.353926,30.353567,2017-03-15,29.323496,0.40164185
2017,4,29.155855,28.384281,29.72357,2017-04-15,28.854733,0.30112267
2017,5,28.186369,27.842854,28.438929,2017-05-15,27.985186,0.20118332
2017,6,27.507332,26.884642,27.843927,2017-06-15,26.798796,0.70853615
2017,7,26.608019,26.048214,27.036072,2017-07-15,25.807795,0.8002243
2017,8,26.081312,25.651072,26.317144,2017-08-15,25.307146,0.7741661
2017,9,26.330761,25.657854,26.822144,2017-09-15,25.65103,0.67973137
2017,10,27.152891,26.790358,27.701784,2017-10-15,26.394232,0.75865936
2017,11,28.398903,27.667858,29.262857,2017-11-15,27.614315,0.78458786
2017,12,28.95001,28.438213,29.502142,2017-12-15,28.478245,0.47176552
2018,1,28.07941,27.42357,28.866426,2018-01-15,28.576626,-0.49721527
2018,2,29.109694,28.319286,29.842855,2018-02-15,28.754911,0.3547821
